1382	8 (A B C D E F G H)
Carex_vixdentata	00000001
Carex_vulpinoidea	00000011
Carex_wahlenbergiana	10000000
Carex_willdenowii	00000010
Carex_williamsii	00010010
Carex_woodii	00000010
Carex_xerantica	00000010
Carex_zotovii	00000100
Carex_zuluensis	01100000
Carpha_glomerata	00000100
Caustis_dioica	00000100
Caustis_pentandra	00000100
Chamaedendron_fragilis	00000100
Chamaedendron_kuekenthaliana	00000100
Chamaedendron_nervosa	00000100
Chamaedendron_xyridioides	00000100
Chorizandra_cymbaria	00000100
Chrysitrix_capensis	01000000
Chrysitrix_dodii	01000000
Cladium_mariscoides	00000010
Cladium_mariscus	11110011
Coleochloa_abyssinica	00100000
Coleochloa_setifera	11100000
Costularia_andringitrensis	10000000
Costularia_baronii	10000000
Costularia_cadetii	10000000
Costularia_humbertii	10000000
Costularia_itremoesis	10000000
Costularia_leucocarpa	10000000
Costularia_melicoides	10000000
Costularia_melleri	10000000
Costularia_natalensis	01100000
Costularia_pantopoda	10000000
Costularia_purpurea	10000000
Costularia_robusta	10000000
Costularia_xipholepis	10000000
Cyathocoma_hexandra	01100000
Cyperus_acuminatus	00000010
Cyperus_africanus	00100000
Cyperus_aggregatus	00000011
Cyperus_ajax	00100000
Cyperus_alatus	11100000
Cyperus_albescens	11111100
Cyperus_albostriatus	01100000
Cyperus_alleizettei	10000000
Cyperus_alopecuroides	11111100
Cyperus_alternifolius	11110000
Cyperus_alternifolius_textilis	01000000
Cyperus_amuricus	00010000
Cyperus_aristulatus	00000010
Cyperus_aromaticus	11100000
Cyperus_articulatus	11111111
Cyperus_ascocapensis	01100000
Cyperus_ascopusillus	11100100
Cyperus_assimilis	11100000
Cyperus_aterrimus	00100000
Cyperus_balfourii	10000000
Cyperus_betafensis	10000000
Cyperus_bipartitus	00000011
Cyperus_blepharoleptos	11100011
Cyperus_bracheilema	01100000
Cyperus_brasiliensis	10100001
Cyperus_brevifolius	11111111
Cyperus_buchholzii	00100000
Cyperus_bulbosus	10111100
Cyperus_capillifolius	10100001
Cyperus_capitatus	00010000
Cyperus_cataractarum	00100000
Cyperus_cephalanthus	00000011
Cyperus_chamaecephalus	10000000
Cyperus_chlorotropis	00110000
Cyperus_clandestinus	00100000
Cyperus_compressus	11111111
Cyperus_congestus	01000000
Cyperus_conglomeratus	10111000
Cyperus_constrictus	00100000
Cyperus_corymbosus	11111100
Cyperus_crassicuspis	00100000
Cyperus_croceus	00000011
Cyperus_cuspidatus	11111111
Cyperus_cyperoides	11111100
Cyperus_debilissimus	10000000
Cyperus_denudatus	11101100
Cyperus_dichrostachyus	11100000
Cyperus_difformis	11111100
Cyperus_digitatus	01111111
Cyperus_distans	11111111
Cyperus_distichus	01000000
Cyperus_distinctus	00000011
Cyperus_dives	00011100
Cyperus_dubius	11111100
Cyperus_echinatus	00000011
Cyperus_elegans	00000011
Cyperus_elegans_rubiginosus	00000001
Cyperus_elegantulus	01110000
Cyperus_endlichii	00100000
Cyperus_entrerianus	00000011
Cyperus_eragrostis	00000011
Cyperus_erinaceus	00100000
Cyperus_eriocauloides	00100000
Cyperus_erythrorhizos	00000010
Cyperus_esculentus	11111011
Cyperus_exilis	10001000
Cyperus_fibrillosus	00100000
Cyperus_filicinus	00000010
Cyperus_filiculmis	00000010
Cyperus_filiformis	00000011
Cyperus_flaccidus	00000100
Cyperus_flavescens	11111111
Cyperus_flavescens_rehmannianus	11100000
Cyperus_flavidus	11011100
Cyperus_foliaceus	00100000
Cyperus_friburgensis	00000001
Cyperus_fulgens	01100000
Cyperus_fuligineus	00000011
Cyperus_fuscus	00011100
Cyperus_gardneri	00000001
Cyperus_giganteus	00000011
Cyperus_gracillimus	00100000
Cyperus_grayi	00000010
Cyperus_grayoides	00000010
Cyperus_haspan	11111111
Cyperus_hemidrummondii	00000010
Cyperus_hemioccidentalis	00000010
Cyperus_hortensis	10100011
Cyperus_hyalinus	11101100
Cyperus_hystricinus	00000010
Cyperus_hystricoides	11100000
Cyperus_imbricatus	11111101
Cyperus_impolitus	00000001
Cyperus_impubes_fallax	10000000
Cyperus_incomtus	00000001
Cyperus_intactus	11101000
Cyperus_intricatus	00000001
Cyperus_iria	11111100
Cyperus_isolepis	00101100
Cyperus_javanicus	10011110
Cyperus_juncelliformis	00100000
Cyperus_kernii	00101000
Cyperus_kerstenii	00100000
Cyperus_kyllingiella	01101000
Cyperus_laevigatus	11111111
Cyperus_lancastriensis	00000010
Cyperus_lanceolatus	10100011
Cyperus_latifolius	11100000
Cyperus_lecontei	00000010
Cyperus_leptocarpus	00010100
Cyperus_leptocladus	01000000
Cyperus_leucaspis	00100000
Cyperus_ligularis	10100011
Cyperus_lipocomosus	00100000
Cyperus_lipofiliformis	00100000
Cyperus_lipomexicanus	10000011
Cyperus_liporobinsonii	00100000
Cyperus_longistolon	00100000
Cyperus_longus	01111000
Cyperus_lupulinus	00000010
Cyperus_luzulae	00000011
Cyperus_macranthus	01100000
Cyperus_macrostachyos	11101111
Cyperus_manimae	00000011
Cyperus_marginatus	01100000
Cyperus_meeboldii	00101000
Cyperus_megapotamicus	00000001
Cyperus_melanacme	00100000
Cyperus_melas	00100000
Cyperus_metzii	10111100
Cyperus_meyenianus	00000001
Cyperus_microiria	00011100
Cyperus_micromelas	00100000
Cyperus_mindorensis	11111100
Cyperus_molliglumis	10000000
Cyperus_mundii	11110000
Cyperus_nemoralis	10000000
Cyperus_neobarteri	00100000
Cyperus_neotropicalis	00000010
Cyperus_niger	00000011
Cyperus_nigricans	10100000
Cyperus_nipponicus	00010000
Cyperus_nuerensis	00100000
Cyperus_ochraceus	00000011
Cyperus_odoratus	10111111
Cyperus_orthostachyus	00010100
Cyperus_ovatus	00000011
Cyperus_oxylepis	00000011
Cyperus_pacificus	00010000
Cyperus_papyrus	11110000
Cyperus_pauper	00100000
Cyperus_pectinatus	11100000
Cyperus_pedunculatus	10111111
Cyperus_pelophilus	11100000
Cyperus_persquarrosus	11100000
Cyperus_phaeolepis	10000000
Cyperus_pilosus	00011100
Cyperus_planifolius	00000011
Cyperus_plantaginifolius	10000000
Cyperus_plateilema	00100000
Cyperus_platystylis	00011100
Cyperus_plukenetii	00000010
Cyperus_polystachyos	11111111
Cyperus_prieurianus	00100000
Cyperus_prolifer	11100000
Cyperus_prolixus	00000011
Cyperus_proteus	00100000
Cyperus_pseudokyllingioides	11111100
Cyperus_pseudovegetus	00000010
Cyperus_pseudovestitus	11100000
Cyperus_pulchellus	10100100
Cyperus_pumilus	11111100
Cyperus_purpureoluteus	00100000
Cyperus_purpureoviridis	00100000
Cyperus_pustulatus	00100000
Cyperus_reductus	11111100
Cyperus_reduncus	00100000
Cyperus_reflexus	00000011
Cyperus_refractus	00000010
Cyperus_regiomontanus	00000011
Cyperus_renschii	10100000
Cyperus_retrorsus	00000011
Cyperus_rhizomatosus	10000000
Cyperus_richardii	00111100
Cyperus_rigens	00000001
Cyperus_rigidifolius	01110000
Cyperus_rotundus	11111111
Cyperus_rubicundus	11111100
Cyperus_rupestris	01100100
Cyperus_salzmannianus	00000011
Cyperus_sanguinolentus	00111100
Cyperus_schomburgkianus	00000001
Cyperus_sellowianus	00000011
Cyperus_serotinus	00010000
Cyperus_seslerioides	00000011
Cyperus_sesquiflorus	11111111
Cyperus_smithianus	00100000
Cyperus_sphacelatus	10100001
Cyperus_squarrosus	11111111
Cyperus_steudneri	00100000
Cyperus_stolonifer	10001100
Cyperus_strigosus	00000011
Cyperus_submicrolepis	00100000
Cyperus_subparadoxus	11100000
Cyperus_subsquarrosus	11100011
Cyperus_surinamensis	00000011
Cyperus_tenuispica	11111100
Cyperus_tetragonus	00000011
Cyperus_thyrsiflorus	00000011
Cyperus_ustulatus	00000100
Cyperus_virens	00000011
Cyperus_waterlotii	10000000
Cyperus_xantholepis	00100000
Didymiandrum_stellatum	00000001
Diplacrum_africanum	10101001
Diplacrum_caricinum	00011100
Diplasia_karatifolia	00000001
Dulichium_arundinaceum	00000010
Eleocharis_acicularis	00010011
Eleocharis_acuta	00000100
Eleocharis_acutangula	11111111
Eleocharis_atropurpurea	11111111
Eleocharis_attenuata	00010100
Eleocharis_baldwinii	00000010
Eleocharis_brittonii	00000010
Eleocharis_caespitosissima	10000100
Eleocharis_compressa	00000010
Eleocharis_confervoides	11101111
Eleocharis_congesta	00011100
Eleocharis_debilis	00000001
Eleocharis_dietrichiana	00000100
Eleocharis_dulcis	11111100
Eleocharis_elliptica	00000010
Eleocharis_engelmannii	00000010
Eleocharis_equisetoides	00000010
Eleocharis_erythropoda	00000010
Eleocharis_fallax	00000011
Eleocharis_flavescens	00000011
Eleocharis_geniculata	11111111
Eleocharis_gracilis	00000100
Eleocharis_intermedia	00000010
Eleocharis_interstincta	00000011
Eleocharis_kamtschatica	00010010
Eleocharis_kuroguwai	00010000
Eleocharis_lanceolata	00000010
Eleocharis_limosa	11000000
Eleocharis_macrostachya	00000011
Eleocharis_mamillata	00010010
Eleocharis_microcarpa	00000011
Eleocharis_minuta	10100000
Eleocharis_montevidensis	00000011
Eleocharis_multicaulis	00010000
Eleocharis_nitida	00000010
Eleocharis_obtusa	00000011
Eleocharis_ovata	00010010
Eleocharis_pallens	00000100
Eleocharis_palustris	00011010
Eleocharis_parishii	00000010
Eleocharis_parvula	00010111
