Species,Area
Carex_ursina,B
Carex_ussuriensis,B
Carex_utriculata,B
Carex_vaginata,B
Carex_valbrayi,A
Carex_vallisrosetto,B
Carex_vernacula,B
Carex_vesicaria,B
Carex_vexans,B
Carex_viridula,B
Carex_vixdentata,B
Carex_vulpinoidea,B
Carex_wahlenbergiana,A
Carex_willdenowii,B
Carex_williamsii,B
Carex_woodii,B
Carex_xerantica,B
Carex_zotovii,B
Carex_zuluensis,B
Carpha_glomerata,B
Caustis_dioica,B
Caustis_pentandra,B
Chamaedendron_fragilis,B
Chamaedendron_kuekenthaliana,B
Chamaedendron_nervosa,B
Chamaedendron_xyridioides,B
Chorizandra_cymbaria,B
Chrysitrix_capensis,B
Chrysitrix_dodii,B
Cladium_mariscoides,B
Cladium_mariscus,AB
Coleochloa_abyssinica,B
Coleochloa_setifera,AB
Costularia_andringitrensis,A
Costularia_baronii,A
Costularia_cadetii,A
Costularia_humbertii,A
Costularia_itremoesis,A
Costularia_leucocarpa,A
Costularia_melicoides,A
Costularia_melleri,A
Costularia_natalensis,B
Costularia_pantopoda,A
Costularia_purpurea,A
Costularia_robusta,A
Costularia_xipholepis,A
Cyathocoma_hexandra,B
Cyperus_acuminatus,B
Cyperus_africanus,B
Cyperus_aggregatus,B
Cyperus_ajax,B
Cyperus_alatus,AB
Cyperus_albescens,AB
Cyperus_albostriatus,B
Cyperus_alleizettei,A
Cyperus_alopecuroides,AB
Cyperus_alternifolius,AB
Cyperus_alternifolius_textilis,B
Cyperus_amuricus,B
Cyperus_aristulatus,B
Cyperus_aromaticus,AB
Cyperus_articulatus,AB
Cyperus_ascocapensis,B
Cyperus_ascopusillus,AB
Cyperus_assimilis,AB
Cyperus_aterrimus,B
Cyperus_balfourii,A
Cyperus_betafensis,A
Cyperus_bipartitus,B
Cyperus_blepharoleptos,AB
Cyperus_bracheilema,B
Cyperus_brasiliensis,AB
Cyperus_brevifolius,AB
Cyperus_buchholzii,B
Cyperus_bulbosus,AB
Cyperus_capillifolius,AB
Cyperus_capitatus,B
Cyperus_cataractarum,B
Cyperus_cephalanthus,B
Cyperus_chamaecephalus,A
Cyperus_chlorotropis,B
Cyperus_clandestinus,B
Cyperus_compressus,AB
Cyperus_congestus,B
Cyperus_conglomeratus,AB
Cyperus_constrictus,B
Cyperus_corymbosus,AB
Cyperus_crassicuspis,B
Cyperus_croceus,B
Cyperus_cuspidatus,AB
Cyperus_cyperoides,AB
Cyperus_debilissimus,A
Cyperus_denudatus,AB
Cyperus_dichrostachyus,AB
Cyperus_difformis,AB
Cyperus_digitatus,B
Cyperus_distans,AB
Cyperus_distichus,B
Cyperus_distinctus,B
Cyperus_dives,B
Cyperus_dubius,AB
Cyperus_echinatus,B
Cyperus_elegans,B
Cyperus_elegans_rubiginosus,B
Cyperus_elegantulus,B
Cyperus_endlichii,B
Cyperus_entrerianus,B
Cyperus_eragrostis,B
Cyperus_erinaceus,B
Cyperus_eriocauloides,B
Cyperus_erythrorhizos,B
Cyperus_esculentus,AB
Cyperus_exilis,AB
Cyperus_fibrillosus,B
Cyperus_filicinus,B
Cyperus_filiculmis,B
Cyperus_filiformis,B
Cyperus_flaccidus,B
Cyperus_flavescens,AB
Cyperus_flavescens_rehmannianus,AB
Cyperus_flavidus,AB
Cyperus_foliaceus,B
Cyperus_friburgensis,B
Cyperus_fulgens,B
Cyperus_fuligineus,B
Cyperus_fuscus,B
Cyperus_gardneri,B
Cyperus_giganteus,B
Cyperus_gracillimus,B
Cyperus_grayi,B
Cyperus_grayoides,B
Cyperus_haspan,AB
Cyperus_hemidrummondii,B
Cyperus_hemioccidentalis,B
Cyperus_hortensis,AB
Cyperus_hyalinus,AB
Cyperus_hystricinus,B
Cyperus_hystricoides,AB
Cyperus_imbricatus,AB
Cyperus_impolitus,B
Cyperus_impubes_fallax,A
Cyperus_incomtus,B
Cyperus_intactus,AB
Cyperus_intricatus,B
Cyperus_iria,AB
Cyperus_isolepis,B
Cyperus_javanicus,AB
Cyperus_juncelliformis,B
Cyperus_kernii,B
Cyperus_kerstenii,B
Cyperus_kyllingiella,B
Cyperus_laevigatus,AB
Cyperus_lancastriensis,B
Cyperus_lanceolatus,AB
Cyperus_latifolius,AB
Cyperus_lecontei,B
Cyperus_leptocarpus,B
Cyperus_leptocladus,B
Cyperus_leucaspis,B
Cyperus_ligularis,AB
Cyperus_lipocomosus,B
Cyperus_lipofiliformis,B
Cyperus_lipomexicanus,AB
Cyperus_liporobinsonii,B
Cyperus_longistolon,B
Cyperus_longus,B
Cyperus_lupulinus,B
Cyperus_luzulae,B
Cyperus_macranthus,B
Cyperus_macrostachyos,AB
Cyperus_manimae,B
Cyperus_marginatus,B
Cyperus_meeboldii,B
Cyperus_megapotamicus,B
Cyperus_melanacme,B
Cyperus_melas,B
Cyperus_metzii,AB
Cyperus_meyenianus,B
Cyperus_microiria,B
Cyperus_micromelas,B
Cyperus_mindorensis,AB
Cyperus_molliglumis,A
Cyperus_mundii,AB
Cyperus_nemoralis,A
Cyperus_neobarteri,B
Cyperus_neotropicalis,B
Cyperus_niger,B
Cyperus_nigricans,AB
Cyperus_nipponicus,B
Cyperus_nuerensis,B
Cyperus_ochraceus,B
Cyperus_odoratus,AB
Cyperus_orthostachyus,B
Cyperus_ovatus,B
Cyperus_oxylepis,B
Cyperus_pacificus,B
Cyperus_papyrus,AB
Cyperus_pauper,B
Cyperus_pectinatus,AB
Cyperus_pedunculatus,AB
Cyperus_pelophilus,AB
Cyperus_persquarrosus,AB
Cyperus_phaeolepis,A
